Exercício do empenho,Órgão programa de trabalho,Código do favorecido,Favorecido,Descrição da natureza da despesa,Valor empenhado,Valor liquidado
2022,16,3465953000113.0,ASSOCIACAO CENTRO EDUCACIONAL REBRAL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",17971860.3,17971860.3
2022,16,33593575000114.0,MITRA ARQUIEPISCOPAL DO RIO DE JANEIRO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",13850050.23,13850050.23
2022,16,34704019000130.0,CENTRO EDUCACIONAL VALE DO SOL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",11316023.719999999,11316023.719999999
2022,16,11429080000111.0,CRECHE COMUNITARIA DEUS E FIEL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",10433722.0,10433722.0
2023,16,3465953000113.0,ASSOCIACAO CENTRO EDUCACIONAL REBRAL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",8611158.47,3978608.33
2022,16,5951758000129.0,SINGULAR GESTAO DE SERVICOS LTDA,"SERVICOS DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",8435646.33,8435646.33
2022,16,2717198000154.0,NUCLEO DE ACAO COMUNITARIA E DE DESENVOLVIMENTO SOCIAL NACODES,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",8374425.54,8374425.54
2023,16,33593575000114.0,MITRA ARQUIEPISCOPAL DO RIO DE JANEIRO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",7104992.72,4153052.31
2022,16,27459612000101.0,CENTRO CULTURAL EDUCAR,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",6453419.64,6453419.64
2022,16,17271547000124.0,ASSOCIACAO CRECHE ESPERANCA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",6004960.23,5843460.23
2022,16,42696744000132.0,CRECHE E PRE ESCOLA MARIA MANUELA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",5537025.0,5537025.0
2023,16,34704019000130.0,CENTRO EDUCACIONAL VALE DO SOL,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",5477031.8,2946688.33
2022,16,46572804000166.0,ASSOCIACAO EDUCACIONAL MARIA M DE APOIO A CIDADANIA,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",5272400.0,5272400.0
2022,16,517666000111.0,RIOSOLIDARIO OBRA SOCIAL DO RIO DE JANEIRO,"SERVICOS DE GER., OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A EDUCACAO, PRESTADOS POR OSC",5235251.67,5235251.67
