Exercício do empenho,Órgão programa de trabalho,Código do favorecido,Favorecido,Descrição da natureza da despesa,Valor empenhado,Valor liquidado
2022,16,1600.0,Secretaria Municipal de Educação,VENCIMENTOS DE CARGO EFETIVO,2181417723.0,2181417723.0
2023,16,4888330000116.0,FUNDO ESPECIAL DE PREVIDENCIA DO MUNICIPIO DO RIO DEJANEIRO,CONTRIBUICAO PATRONAL FUNPREVI - SUPLEMENTAR,1563414000.0,471612475.32
2022,16,4888330000116.0,FUNDO ESPECIAL DE PREVIDENCIA DO MUNICIPIO DO RIO DEJANEIRO,CONTRIBUICAO PATRONAL FUNPREVI - SUPLEMENTAR,1414638020.77,1414638020.77
2023,16,4888330000116.0,FUNDO ESPECIAL DE PREVIDENCIA DO MUNICIPIO DO RIO DEJANEIRO,CONTRIBUICAO PATRONAL FUNPREVI,1054300000.0,307626956.22
2022,16,4888330000116.0,FUNDO ESPECIAL DE PREVIDENCIA DO MUNICIPIO DO RIO DEJANEIRO,CONTRIBUICAO PATRONAL FUNPREVI,948247969.0,948247969.0
2023,16,1600.0,Secretaria Municipal de Educação,VENCIMENTOS DE CARGO EFETIVO,774453699.37,774453699.37
2022,16,1600.0,Secretaria Municipal de Educação,ADICIONAL POR TEMPO DE SERVICO,489708626.62,489708626.62
2022,16,1600.0,Secretaria Municipal de Educação,GRATIFICACAO DE DUPLA REGENCIA,326257415.5,326257415.5
2022,16,1600.0,Secretaria Municipal de Educação,13  VENCIMENTO DE FUNCIONARIO ESTATUTARIO,287951730.35,287951730.35
2022,16,42124693000174.0,COMPANHIA MUNICIPAL DE LIMPEZA URBANA,"SERVICO DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",177395922.10999998,173690475.04
2023,16,1600.0,Secretaria Municipal de Educação,ADICIONAL POR TEMPO DE SERVICO,175272635.64000002,175272635.64000002
2022,16,1920177000179.0,COMERCIAL MILANO BRASIL LTDA,"GENEROS ALIMENTICIOS, INCLUSIVE BEBIDAS - MERENDA",161791201.53,161460968.52
2023,16,42124693000174.0,COMPANHIA MUNICIPAL DE LIMPEZA URBANA,"SERVICO DE LIMPEZA, CONSERVACAO, HIGIENE E COPA POR PESSOA JURIDICA",138970691.75,45738303.31
2023,16,2535864000133.0,VR BENEFICIOS E SERVICOS DE PROCESSAMENTO SA,VALE REFEICAO VALE ALIMENTACAO E FORNECIMENTO DE CAFE DA MANHA,111000000.0,38838258.41
2022,16,2535864000133.0,VR BENEFICIOS E SERVICOS DE PROCESSAMENTO SA,VALE REFEICAO VALE ALIMENTACAO E FORNECIMENTO DE CAFE DA MANHA,107894437.73,107894437.73
